origin_name,verify_name,url
CV-40/塔拉瓦号,<em>塔拉瓦号</em>,https://baike.baidu.com/item/%E5%A1%94%E6%8B%89%E7%93%A6%E5%8F%B7%E8%88%AA%E7%A9%BA%E6%AF%8D%E8%88%B0/1445830
CVL-48/塞班级/Saipan 航空母舰,<em>塞班级</em>,https://baike.baidu.com/item/%E5%A1%9E%E7%8F%AD%E7%BA%A7%E8%BD%BB%E5%9E%8B%E8%88%AA%E7%A9%BA%E6%AF%8D%E8%88%B0/3212990
CV-15/伦道夫号,<em>伦道夫号</em>,/item/%E4%BC%A6%E9%81%93%E5%A4%AB%E5%8F%B7%E8%88%AA%E7%A9%BA%E6%AF%8D%E8%88%B0
CV-66/美国号 航空母舰,<em>美国号航空母舰</em>,https://baike.baidu.com/item/%E7%BE%8E%E5%9B%BD%E5%8F%B7%E8%88%AA%E7%A9%BA%E6%AF%8D%E8%88%B0/6195848
CVL-49/赖特号/Wright 航空母舰,<em>赖特号航空母舰</em>,/item/%E8%B5%96%E7%89%B9%E5%8F%B7%E8%88%AA%E7%A9%BA%E6%AF%8D%E8%88%B0
CV-22/独立号 航空母舰,<em>独立号航空母舰</em>,https://baike.baidu.com/item/%E7%8B%AC%E7%AB%8B%E5%8F%B7%E8%88%AA%E7%A9%BA%E6%AF%8D%E8%88%B0/10727768
AVG-1/长岛号/LongIsland 航空母舰,<em>长岛号</em>,https://baike.baidu.com/item/%E9%95%BF%E5%B2%9B%E5%8F%B7(AVG-1%2C%22LongIsland%22)/15239263
CV-39/张伯伦湖号,<em>张伯伦湖号</em>,https://baike.baidu.com/item/%E5%BC%A0%E4%BC%AF%E4%BC%A6%E6%B9%96%E5%8F%B7%E8%88%AA%E7%A9%BA%E6%AF%8D%E8%88%B0/8155297
CV-10/约克城号,<em>约克城号</em>,https://baike.baidu.com/item/%E7%BA%A6%E5%85%8B%E5%9F%8E%E5%8F%B7%E8%88%AA%E7%A9%BA%E6%AF%8D%E8%88%B0/1415902
CV-67/肯尼迪号 航空母舰,<em>肯尼迪号航空母舰</em>,https://baike.baidu.com/item/%E8%82%AF%E5%B0%BC%E8%BF%AA%E5%8F%B7%E8%88%AA%E7%A9%BA%E6%AF%8D%E8%88%B0/1376634
