origin_name,verify_name,('_name' 5),url
歼-6系列战斗机,歼-6,('歼-6' 3),https://baike.baidu.com/item/%E6%AD%BC-6/6037410
AT-12“卫兵”,AT-12,('AT-12' 5),/item/AT-12%E6%95%99%E7%BB%83%E6%9C%BA
米格-29“支点”战斗机,米格-29“支点”战斗机,('米格-29“支点”战斗机' 12),https://baike.baidu.com/item/%E7%B1%B3%E6%A0%BC-29%E2%80%9C%E6%94%AF%E7%82%B9%E2%80%9D%E6%88%98%E6%96%97%E6%9C%BA
格鲁曼F2F/F3F,F3F,('F3F' 3),/item/F3F%E6%88%98%E6%96%97%E6%9C%BA
苏-24“击剑手”战斗轰炸机,苏-24“击剑手”战斗轰炸机,('苏-24“击剑手”战斗轰炸机' 14),https://baike.baidu.com/item/%E8%8B%8F-24%E2%80%9C%E5%87%BB%E5%89%91%E6%89%8B%E2%80%9D%E6%88%98%E6%96%97%E8%BD%B0%E7%82%B8%E6%9C%BA
苏-35/苏-37“侧卫-E”  全天候防空战斗机,苏-37战斗机,('苏-37' 4),https://baike.baidu.com/item/%E8%8B%8F-37%E6%88%98%E6%96%97%E6%9C%BA/565380
MB-3,MB-3,('MB-3' 4),https://baike.baidu.com/item/MB-3
歼-7系列战斗机,<em>歼-7系列战斗机</em>,('歼-7系列战斗机' 8),http://www.baidu.com/s?ie=utf-8&fr=bks0000&wd=%E6%AD%BC-7%E7%B3%BB%E5%88%97%E6%88%98%E6%96%97%E6%9C%BA
共和43“长矛”,共和43,('共和43' 4),/item/%E5%85%B1%E5%92%8C43%E2%80%9C%E9%95%BF%E7%9F%9B%E2%80%9D%E6%88%98%E6%96%97%E6%9C%BA
歼-5战斗机,歼-5战斗机,('歼-5战斗机' 6),https://baike.baidu.com/item/%E6%AD%BC-5%E6%88%98%E6%96%97%E6%9C%BA
NA-50/-68和P-64,NA-50,('NA-50' 5),/item/NA-50-68%E5%92%8CP-64%E6%88%98%E6%96%97%E6%9C%BA
歼-8系列战斗机,歼-8,('歼-8' 3),https://baike.baidu.com/item/%E6%AD%BC-8/1342090
歼-12战斗机,歼-12战斗机,('歼-12战斗机' 7),https://baike.baidu.com/item/%E6%AD%BC-12%E6%88%98%E6%96%97%E6%9C%BA
歼-7B/M型 战斗机,歼-7,('歼-7' 3),https://baike.baidu.com/item/%E6%AD%BC-7/1342224
歼-15战斗机,歼-15战斗机,('歼-15战斗机' 7),https://baike.baidu.com/item/%E6%AD%BC-15%E6%88%98%E6%96%97%E6%9C%BA
